Voltage (V),Current (A),Timestamp (s)
-0.000183167323,0.0,0.0
0.00194998007,0.001,0.017
0.00399038343,0.002,0.03
0.00593804118,0.003,0.047
0.00816393575,0.004,0.06
0.0100188479,0.005,0.085
0.0120592513,0.006,0.102
0.0141924002,0.007,0.115
0.016140058,0.008,0.132
0.0180877157,0.009,0.145
0.0202208647,0.01,0.17
