Voltage (V),Current (A),Timestamp (s)
4.92973175e-18,0.0,0.0
0.0020279719,0.001,0.083
0.00403611735,0.002,0.167
0.00605984079,0.003,0.25
0.00807223469,0.004,0.334
0.0100902934,0.005,0.417
0.0121126007,0.006,0.5
0.0141292429,0.007,0.584
0.0161430519,0.008,0.667
0.018159695,0.009,0.75
0.0201791693,0.01,0.834
