Voltage (V),Current (A),Timestamp (s)
2.83714894e-06,0.0,0.0
0.00201153872,0.001,0.083
0.00404435582,0.002,0.167
0.00606156886,0.003,0.25
0.0080830371,0.004,0.333
0.0101115992,0.005,0.416
0.0121273929,0.006,0.5
0.0141531173,0.007,0.583
0.0161689129,0.008,0.666
0.0181988925,0.009,0.75
0.0202047564,0.01,0.833
