Voltage (V),Current (A),Timestamp (s)
-2.8379452e-06,0.0,0.0
0.00202061702,0.001,0.083
0.00403839629,0.002,0.167
0.0060717836,0.003,0.25
0.00809240062,0.004,0.333
0.010114437,0.005,0.417
0.0121322162,0.006,0.5
0.014155671,0.007,0.583
0.0161791258,0.008,0.667
0.0182068385,0.009,0.75
0.0202189405,0.01,0.833
