Voltage (V),Current (A)
2.12869668e-06,0.0
0.000995520502,0.001
0.00199742708,0.002
0.00298727094,0.003
0.00398917776,0.004
0.00498611713,0.005
0.00597454188,0.006
0.0069750296,0.007
0.00797835551,0.008
0.00897600409,0.009
0.00998003967,0.01
