Voltage (V),Current (A),Timestamp (s)
4.25441931e-06,0.0,0.0
0.00202510366,0.001,0.083
0.00404028036,0.002,0.167
0.00606538402,0.003,0.25
0.00809190609,0.004,0.333
0.0101014096,0.005,0.417
0.0121279312,0.006,0.5
0.0141388541,0.007,0.583
0.0161781386,0.008,0.667
0.0181862246,0.009,0.75
0.0202184189,0.01,0.833
