Voltage (V),Current (A),Timestamp (s)

4.25771759e-06,0.0,0.0

0.00202241587,0.001,0.083

0.00404483173,0.002,0.167

0.00605873205,0.003,0.25

0.00808682479,0.004,0.333

0.0101092411,0.005,0.416

0.0121415909,0.006,0.5

0.0141597493,0.007,0.583

0.0161764883,0.008,0.666

0.0181989037,0.009,0.75

0.0202241577,0.01,0.833

